adaptiveScore,prerequisiteScore,historicalPerformanceScore,pedagogicalOrderScore,engagementScore,diagnosticWeaknessScore,masteryScore,averageAssessmentScore,completedLabsCount,tracesCount,profileType,recommendationType,success
0.604,0.5,0.7,0.62,0.56,0.7,77.1,72.99,2,24,PROGRESSING,REMEDIATION,1
0.694,1.0,1.0,0.29,0.76,0.3,86.84,92.74,4,21,HIGH_PERFORMING,VALIDATION,1
0.44,0.0,0.4,0.71,0.23,1.0,25.31,52.55,2,5,NEEDS_REMEDIATION,REMEDIATION,0
0.589,0.5,0.7,0.58,0.47,0.7,58.69,65.39,0,20,PROGRESSING,NORMAL_PROGRESS,0
0.54,0.5,0.4,0.22,0.22,1.0,31.29,44.35,7,9,NEEDS_REMEDIATION,REMEDIATION,1
0.498,0.5,0.7,0.48,0.71,0.3,52.4,69.23,2,26,PROGRESSING,NORMAL_PROGRESS,1
0.44,0.0,0.4,0.73,0.2,1.0,28.15,24.11,3,5,NEEDS_REMEDIATION,REMEDIATION,0
0.454,0.0,0.4,0.8,0.24,1.0,24.99,43.06,7,4,NEEDS_REMEDIATION,REMEDIATION,0
0.712,1.0,1.0,0.36,0.83,0.3,93.49,86.91,10,22,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.543,0.5,0.7,0.84,0.62,0.3,51.73,67.6,1,20,PROGRESSING,NORMAL_PROGRESS,1
0.533,0.5,0.4,0.43,0.59,0.7,62.23,57.43,3,16,PROGRESSING,NORMAL_PROGRESS,1
0.625,0.5,0.7,0.63,0.75,0.7,70.45,78.59,2,11,PROGRESSING,REMEDIATION,1
0.799,1.0,1.0,0.88,0.92,0.3,86.36,90.89,4,7,HIGH_PERFORMING,VALIDATION,1
0.421,0.0,0.4,0.52,0.33,1.0,42.99,23.34,5,15,NEEDS_REMEDIATION,REMEDIATION,0
0.706,0.5,0.7,0.61,0.84,1.0,62.06,67.45,7,7,PROGRESSING,REMEDIATION,1
0.411,0.0,0.4,0.52,0.23,1.0,21.98,34.19,2,8,NEEDS_REMEDIATION,REMEDIATION,0
0.426,0.0,0.4,0.47,0.46,1.0,24.55,51.65,4,4,NEEDS_REMEDIATION,REMEDIATION,1
0.718,1.0,0.7,0.87,0.57,0.3,62.9,71.85,0,26,PROGRESSING,REMEDIATION,1
0.642,0.5,1.0,0.38,0.85,0.7,90.83,89.78,3,19,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.391,0.5,0.4,0.23,0.46,0.3,55.77,57.32,3,20,PROGRESSING,NORMAL_PROGRESS,1
0.654,0.5,0.7,0.3,0.79,1.0,62.38,72.2,7,16,PROGRESSING,REMEDIATION,0
0.752,1.0,1.0,0.75,0.64,0.3,78.18,87.18,6,9,PROGRESSING,REMEDIATION,0
0.646,0.5,1.0,0.34,0.95,0.7,96.57,93.41,5,14,HIGH_PERFORMING,VALIDATION,1
0.706,0.5,1.0,0.32,0.83,1.0,61.87,84.01,7,21,PROGRESSING,REMEDIATION,1
0.637,0.5,1.0,0.39,0.78,0.7,72.64,82.71,3,18,PROGRESSING,REMEDIATION,1
0.625,0.5,1.0,0.37,0.7,0.7,67.18,84.96,4,22,PROGRESSING,REMEDIATION,1
0.688,0.5,0.7,0.64,0.62,1.0,57.35,74.84,5,17,PROGRESSING,REMEDIATION,0
0.4,0.0,0.4,0.25,0.53,1.0,50.39,44.34,5,11,NEEDS_REMEDIATION,REMEDIATION,0
0.43,0.0,0.4,0.62,0.27,1.0,30.56,36.94,1,3,NEEDS_REMEDIATION,REMEDIATION,0
0.645,1.0,0.4,0.62,0.67,0.3,58.45,58.29,2,24,PROGRESSING,REMEDIATION,1
0.693,1.0,0.7,0.66,0.64,0.3,70.2,72.87,4,8,PROGRESSING,NORMAL_PROGRESS,1
0.702,0.5,1.0,0.41,0.66,1.0,73.99,80.5,5,18,PROGRESSING,REMEDIATION,1
0.404,0.0,0.4,0.5,0.19,1.0,34.49,26.99,1,9,NEEDS_REMEDIATION,REMEDIATION,0
0.504,0.5,0.4,0.21,0.62,0.7,69.8,55.21,6,23,PROGRESSING,REMEDIATION,0
0.713,1.0,0.7,0.7,0.78,0.3,78.84,72.19,5,11,PROGRESSING,REMEDIATION,0
0.384,0.0,0.4,0.26,0.35,1.0,50.77,39.21,3,1,NEEDS_REMEDIATION,REMEDIATION,0
0.713,1.0,0.7,0.71,0.76,0.3,58.66,68.34,0,10,PROGRESSING,REMEDIATION,0
0.543,0.5,0.7,0.91,0.52,0.3,64.75,62.09,4,10,PROGRESSING,NORMAL_PROGRESS,1
0.754,1.0,1.0,0.56,0.95,0.3,82.81,97.99,3,18,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.646,0.5,0.7,0.81,0.7,0.7,77.15,69.04,3,21,PROGRESSING,NORMAL_PROGRESS,1
0.433,0.0,0.4,0.64,0.27,1.0,40.28,57.9,3,10,NEEDS_REMEDIATION,REMEDIATION,0
0.671,1.0,0.7,0.61,0.49,0.3,67.21,60.04,3,21,PROGRESSING,REMEDIATION,1
0.713,0.5,0.7,0.71,0.76,1.0,58.88,63.02,6,18,PROGRESSING,REMEDIATION,1
0.702,1.0,0.7,0.76,0.58,0.3,72.24,73.6,1,19,PROGRESSING,REMEDIATION,0
0.456,0.0,0.4,0.66,0.47,1.0,44.09,25.89,0,26,NEEDS_REMEDIATION,REMEDIATION,1
0.661,0.5,0.7,0.91,0.7,0.7,71.37,76.7,0,11,PROGRESSING,REMEDIATION,1
0.672,0.5,1.0,0.49,0.99,0.7,97.8,85.38,4,21,HIGH_PERFORMING,VALIDATION,1
0.411,0.0,0.4,0.46,0.32,1.0,35.74,32.72,3,25,NEEDS_REMEDIATION,REMEDIATION,0
0.571,0.5,0.7,0.31,0.7,0.7,50.81,61.29,1,18,PROGRESSING,NORMAL_PROGRESS,1
0.425,0.0,0.4,0.63,0.21,1.0,42.22,41.91,2,6,NEEDS_REMEDIATION,REMEDIATION,0
0.623,0.5,0.7,0.64,0.72,0.7,69.84,61.9,0,26,PROGRESSING,NORMAL_PROGRESS,0
0.678,1.0,0.7,0.64,0.52,0.3,61.59,67.94,4,19,PROGRESSING,REMEDIATION,1
0.392,0.0,0.4,0.36,0.28,1.0,26.55,29.99,5,17,NEEDS_REMEDIATION,REMEDIATION,0
0.615,0.5,0.7,0.57,0.75,0.7,74.91,72.1,4,22,PROGRESSING,NORMAL_PROGRESS,1
0.702,0.5,0.7,0.75,0.59,1.0,58.58,68.86,6,17,PROGRESSING,REMEDIATION,1
0.403,0.0,0.4,0.4,0.33,1.0,36.83,27.53,5,19,NEEDS_REMEDIATION,REMEDIATION,0
0.408,0.0,0.4,0.37,0.43,1.0,27.99,37.89,6,5,NEEDS_REMEDIATION,REMEDIATION,1
0.668,0.5,1.0,0.53,0.89,0.7,92.48,95.01,8,13,HIGH_PERFORMING,VALIDATION,1
0.683,0.5,1.0,0.69,0.8,0.7,88.09,90.75,6,23,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.463,0.0,0.4,0.84,0.27,1.0,38.44,20.32,4,8,NEEDS_REMEDIATION,REMEDIATION,0
0.455,0.5,0.7,0.22,0.67,0.3,60.48,65.65,4,9,PROGRESSING,NORMAL_PROGRESS,1
0.472,0.0,0.4,0.82,0.39,1.0,29.33,34.91,3,9,NEEDS_REMEDIATION,REMEDIATION,0
0.624,0.5,1.0,0.32,0.76,0.7,90.6,89.11,7,23,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.741,0.5,0.7,0.87,0.8,1.0,61.55,73.99,5,26,PROGRESSING,REMEDIATION,1
0.665,0.5,1.0,0.66,0.66,0.7,77.46,85.78,3,14,PROGRESSING,REMEDIATION,1
0.634,0.5,0.7,0.62,0.86,0.7,72.68,79.07,5,11,PROGRESSING,REMEDIATION,1
0.707,0.5,1.0,0.82,0.84,0.7,73.83,81.66,7,26,PROGRESSING,REMEDIATION,0
0.611,0.5,0.4,0.5,0.51,1.0,41.83,34.15,0,10,NEEDS_REMEDIATION,REMEDIATION,0
0.6,0.5,0.4,0.5,0.4,1.0,53.99,48.61,5,10,NEEDS_REMEDIATION,REMEDIATION,0
0.64,0.5,1.0,0.44,0.74,0.7,91.26,80.72,9,14,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.585,0.5,0.7,0.38,0.73,0.7,64.52,69.54,1,15,PROGRESSING,REMEDIATION,1
0.48,0.0,0.4,0.91,0.33,1.0,23.54,28.78,6,23,NEEDS_REMEDIATION,REMEDIATION,0
0.426,0.0,0.4,0.62,0.23,1.0,24.87,51.26,5,9,NEEDS_REMEDIATION,REMEDIATION,1
0.688,1.0,1.0,0.2,0.83,0.3,91.7,89.21,6,23,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.614,0.5,1.0,0.27,0.74,0.7,95.96,80.65,4,26,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.525,0.5,0.7,0.67,0.7,0.3,55.52,68.86,7,20,PROGRESSING,NORMAL_PROGRESS,0
0.605,0.5,0.7,0.7,0.45,0.7,70.12,61.7,5,22,PROGRESSING,REMEDIATION,1
0.744,1.0,0.7,0.92,0.76,0.3,59.21,79.56,7,10,PROGRESSING,REMEDIATION,1
0.389,0.0,0.4,0.33,0.3,1.0,51.64,49.71,3,6,NEEDS_REMEDIATION,REMEDIATION,0
0.67,0.5,0.4,0.91,0.49,1.0,18.75,42.29,1,7,NEEDS_REMEDIATION,REMEDIATION,0
0.467,0.5,0.7,0.44,0.46,0.3,54.14,70.66,6,10,PROGRESSING,NORMAL_PROGRESS,1
0.47,0.0,0.4,0.79,0.42,1.0,22.06,46.9,2,5,NEEDS_REMEDIATION,REMEDIATION,0
0.604,0.5,0.7,0.44,0.83,0.7,70.56,76.23,3,22,PROGRESSING,REMEDIATION,1
0.37,0.0,0.4,0.24,0.24,1.0,37.95,33.29,3,10,NEEDS_REMEDIATION,REMEDIATION,1
0.561,0.5,0.4,0.2,0.46,1.0,19.56,43.79,3,7,NEEDS_REMEDIATION,REMEDIATION,0
0.706,1.0,1.0,0.22,0.98,0.3,89.4,84.86,9,16,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.443,0.0,0.4,0.57,0.48,1.0,49.97,27.45,5,26,NEEDS_REMEDIATION,REMEDIATION,1
0.787,1.0,1.0,0.84,0.86,0.3,88.14,96.59,11,16,HIGH_PERFORMING,VALIDATION,1
0.4,0.0,0.4,0.29,0.47,1.0,22.75,22.13,0,13,NEEDS_REMEDIATION,REMEDIATION,0
0.762,1.0,1.0,0.87,0.57,0.3,75.52,83.88,2,14,PROGRESSING,REMEDIATION,1
0.681,0.5,1.0,0.68,0.79,0.7,90.27,83.44,10,21,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.615,0.5,0.7,0.76,0.46,0.7,75.18,67.96,1,18,PROGRESSING,NORMAL_PROGRESS,0
0.668,0.5,0.7,0.44,0.72,1.0,64.08,74.97,5,13,PROGRESSING,REMEDIATION,1
0.478,0.0,0.4,0.86,0.39,1.0,35.73,51.14,5,25,NEEDS_REMEDIATION,REMEDIATION,0
0.718,1.0,0.7,0.9,0.53,0.3,51.49,66.55,5,26,PROGRESSING,NORMAL_PROGRESS,1
0.69,1.0,0.7,0.75,0.47,0.3,70.92,63.21,2,16,PROGRESSING,NORMAL_PROGRESS,0
0.743,1.0,1.0,0.57,0.83,0.3,96.55,85.44,6,9,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.662,1.0,0.7,0.36,0.78,0.3,77.07,79.41,4,7,PROGRESSING,REMEDIATION,1
0.674,0.5,0.7,0.62,0.51,1.0,66.57,68.35,1,6,PROGRESSING,REMEDIATION,0
0.473,0.0,0.4,0.93,0.23,1.0,49.82,38.67,6,14,NEEDS_REMEDIATION,REMEDIATION,0
0.426,0.0,0.4,0.51,0.4,1.0,27.16,35.84,5,8,NEEDS_REMEDIATION,REMEDIATION,0
0.607,0.5,0.4,0.66,0.23,1.0,25.32,27.14,3,25,NEEDS_REMEDIATION,REMEDIATION,0
0.74,1.0,1.0,0.46,0.96,0.3,90.47,97.48,9,15,HIGH_PERFORMING,VALIDATION,1
0.559,0.5,0.4,0.28,0.32,1.0,39.18,46.63,3,4,NEEDS_REMEDIATION,REMEDIATION,1
0.758,1.0,1.0,0.7,0.78,0.3,94.07,97.09,6,24,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.459,0.0,0.4,0.77,0.33,1.0,28.66,22.2,2,2,NEEDS_REMEDIATION,REMEDIATION,0
0.622,1.0,0.7,0.26,0.53,0.3,53.9,61.97,7,25,PROGRESSING,REMEDIATION,0
0.555,0.5,0.7,0.36,0.46,0.7,63.97,62.1,0,17,PROGRESSING,REMEDIATION,0
0.419,0.0,0.4,0.61,0.18,1.0,53.14,38.13,6,12,NEEDS_REMEDIATION,REMEDIATION,0
0.758,1.0,1.0,0.56,0.99,0.3,84.48,85.34,5,22,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.647,0.5,1.0,0.47,0.76,0.7,93.17,86.12,12,17,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.419,0.0,0.4,0.53,0.3,1.0,38.32,44.3,6,17,NEEDS_REMEDIATION,REMEDIATION,0
0.575,0.5,0.4,0.3,0.45,1.0,25.78,23.39,2,3,NEEDS_REMEDIATION,REMEDIATION,0
0.37,0.0,0.4,0.21,0.28,1.0,26.51,23.89,5,12,NEEDS_REMEDIATION,REMEDIATION,1
0.654,0.5,0.7,0.84,0.73,0.7,73.57,63.74,2,25,PROGRESSING,REMEDIATION,0
0.641,0.5,0.7,0.33,0.62,1.0,67.46,65.24,2,24,PROGRESSING,REMEDIATION,1
0.768,1.0,1.0,0.79,0.75,0.3,90.64,94.37,8,24,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.724,1.0,1.0,0.39,0.91,0.3,89.87,90.39,9,23,HIGH_PERFORMING,VALIDATION,1
0.383,0.0,0.4,0.2,0.43,1.0,19.76,43.77,1,8,NEEDS_REMEDIATION,REMEDIATION,0
0.725,1.0,1.0,0.36,0.96,0.3,83.34,87.72,8,16,HIGH_PERFORMING,VALIDATION,1
0.758,1.0,1.0,0.65,0.86,0.3,97.08,89.01,4,6,HIGH_PERFORMING,VALIDATION,1
0.691,0.5,0.7,0.72,0.53,1.0,67.97,61.95,7,11,PROGRESSING,REMEDIATION,1
0.672,1.0,0.7,0.58,0.55,0.3,65.4,61.68,3,9,PROGRESSING,NORMAL_PROGRESS,0
0.447,0.0,0.4,0.71,0.3,1.0,21.39,55.05,4,17,NEEDS_REMEDIATION,REMEDIATION,1
0.718,0.5,1.0,0.92,0.8,0.7,64.18,83.04,0,16,PROGRESSING,REMEDIATION,1
0.684,0.5,1.0,0.25,0.72,1.0,58.44,80.49,1,22,PROGRESSING,REMEDIATION,1
0.483,0.5,0.4,0.74,0.62,0.3,71.14,59.58,7,21,PROGRESSING,NORMAL_PROGRESS,1
0.759,1.0,1.0,0.7,0.79,0.3,83.44,87.1,9,24,HIGH_PERFORMING,VALIDATION,1
0.704,0.5,1.0,0.88,0.72,0.7,93.36,85.59,4,20,HIGH_PERFORMING,NORMAL_PROGRESS,0
0.438,0.0,0.4,0.63,0.33,1.0,47.28,43.19,4,9,NEEDS_REMEDIATION,REMEDIATION,0
0.491,0.5,0.7,0.52,0.58,0.3,55.22,70.12,3,6,PROGRESSING,NORMAL_PROGRESS,1
0.663,0.5,1.0,0.57,0.78,0.7,95.47,89.14,8,9,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.455,0.0,0.4,0.82,0.22,1.0,51.74,52.95,7,7,NEEDS_REMEDIATION,REMEDIATION,0
0.619,0.5,0.7,0.78,0.47,0.7,64.02,77.41,6,25,PROGRESSING,NORMAL_PROGRESS,1
0.757,1.0,1.0,0.61,0.91,0.3,84.21,84.16,3,19,HIGH_PERFORMING,VALIDATION,1
0.707,1.0,1.0,0.29,0.89,0.3,92.6,91.55,6,24,HIGH_PERFORMING,VALIDATION,1
0.785,1.0,1.0,0.8,0.9,0.3,95.82,80.98,6,9,HIGH_PERFORMING,VALIDATION,1
0.726,1.0,0.7,0.79,0.77,0.3,77.44,75.27,0,23,PROGRESSING,REMEDIATION,1
0.748,1.0,1.0,0.64,0.77,0.3,91.05,94.27,10,13,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.686,1.0,1.0,0.29,0.68,0.3,65.36,85.17,6,6,PROGRESSING,REMEDIATION,1
0.572,0.5,0.4,0.44,0.21,1.0,47.24,23.29,3,3,NEEDS_REMEDIATION,REMEDIATION,0
0.705,1.0,0.7,0.76,0.61,0.3,76.7,70.8,2,17,PROGRESSING,NORMAL_PROGRESS,1
0.514,0.5,0.4,0.22,0.71,0.7,50.97,56.55,7,10,PROGRESSING,REMEDIATION,0
0.633,1.0,0.7,0.27,0.62,0.3,62.07,67.81,5,25,PROGRESSING,NORMAL_PROGRESS,1
0.678,1.0,0.7,0.63,0.53,0.3,54.55,65.56,2,12,PROGRESSING,REMEDIATION,0
0.671,1.0,0.7,0.63,0.46,0.3,52.02,74.82,6,24,PROGRESSING,NORMAL_PROGRESS,0
0.557,0.5,0.4,0.28,0.3,1.0,44.35,51.28,4,4,NEEDS_REMEDIATION,REMEDIATION,0
0.673,0.5,1.0,0.56,0.89,0.7,97.2,96.05,6,14,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.553,0.5,0.7,0.34,0.47,0.7,65.0,74.08,3,24,PROGRESSING,NORMAL_PROGRESS,0
0.559,0.5,0.4,0.59,0.61,0.7,74.44,56.2,4,9,PROGRESSING,NORMAL_PROGRESS,0
0.725,1.0,1.0,0.36,0.96,0.3,85.66,96.3,12,10,HIGH_PERFORMING,VALIDATION,1
0.713,1.0,0.7,0.78,0.66,0.3,75.02,75.49,7,25,PROGRESSING,REMEDIATION,1
0.68,0.5,0.7,0.54,0.69,1.0,79.24,66.81,7,9,PROGRESSING,REMEDIATION,0
0.698,0.5,0.7,0.73,0.58,1.0,70.6,66.48,4,12,PROGRESSING,REMEDIATION,0
0.688,1.0,1.0,0.23,0.78,0.3,74.81,86.61,0,8,PROGRESSING,REMEDIATION,1
0.745,1.0,1.0,0.59,0.82,0.3,68.09,86.11,4,14,PROGRESSING,REMEDIATION,1
0.444,0.0,0.4,0.7,0.29,1.0,30.83,29.4,7,16,NEEDS_REMEDIATION,REMEDIATION,1
0.693,0.5,1.0,0.63,0.98,0.7,87.16,84.42,8,18,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.364,0.0,0.4,0.2,0.24,1.0,25.59,42.38,6,10,NEEDS_REMEDIATION,REMEDIATION,1
0.72,0.5,1.0,0.82,0.97,0.7,85.21,94.16,7,21,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.699,1.0,0.7,0.76,0.55,0.3,65.65,70.47,1,24,PROGRESSING,REMEDIATION,0
0.402,0.0,0.4,0.35,0.4,1.0,41.95,36.39,6,4,NEEDS_REMEDIATION,REMEDIATION,1
0.553,0.5,0.4,0.25,0.31,1.0,22.44,51.3,2,8,NEEDS_REMEDIATION,REMEDIATION,1
0.688,0.5,1.0,0.69,0.84,0.7,95.92,95.74,4,10,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.406,0.0,0.4,0.37,0.41,1.0,45.42,57.35,0,16,NEEDS_REMEDIATION,REMEDIATION,0
0.583,0.5,0.4,0.36,0.44,1.0,30.42,45.95,6,1,NEEDS_REMEDIATION,REMEDIATION,1
0.664,0.5,0.4,0.85,0.51,1.0,37.26,42.14,6,6,NEEDS_REMEDIATION,REMEDIATION,0
0.595,0.5,0.7,0.47,0.7,0.7,57.3,60.42,0,13,PROGRESSING,NORMAL_PROGRESS,1
0.618,0.5,0.7,0.62,0.7,0.7,74.71,71.73,4,17,PROGRESSING,REMEDIATION,1
0.662,0.5,1.0,0.5,0.87,0.7,97.15,82.97,8,26,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.408,0.0,0.4,0.5,0.23,1.0,33.93,48.51,7,11,NEEDS_REMEDIATION,REMEDIATION,0
0.598,0.5,0.4,0.42,0.5,1.0,50.53,59.96,1,15,PROGRESSING,REMEDIATION,1
0.759,1.0,1.0,0.59,0.96,0.3,83.85,93.91,10,25,HIGH_PERFORMING,VALIDATION,1
0.785,1.0,1.0,0.89,0.77,0.3,96.81,84.26,6,19,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.694,1.0,0.7,0.71,0.57,0.3,77.95,66.0,4,26,PROGRESSING,REMEDIATION,1
0.738,1.0,1.0,0.55,0.8,0.3,80.84,81.74,2,21,PROGRESSING,REMEDIATION,1
0.584,0.5,0.4,0.35,0.46,1.0,52.77,26.03,3,7,NEEDS_REMEDIATION,REMEDIATION,0
0.427,0.0,0.4,0.51,0.41,1.0,43.01,40.29,6,26,NEEDS_REMEDIATION,REMEDIATION,0
0.723,1.0,0.7,0.84,0.67,0.3,73.51,66.58,6,22,PROGRESSING,REMEDIATION,1
0.579,1.0,0.4,0.27,0.53,0.3,64.42,57.44,6,15,PROGRESSING,REMEDIATION,1
0.705,1.0,0.7,0.78,0.58,0.3,64.1,65.29,1,8,PROGRESSING,REMEDIATION,0
0.433,0.0,0.4,0.66,0.24,1.0,23.88,28.16,4,4,NEEDS_REMEDIATION,REMEDIATION,1
